Date, Symbol, Prediction
2021-02-28, BBL, 1.917%
2021-02-28, BUD, 1.670%
2021-02-28, CHTR, 1.570%
2021-02-28, QCOM, 1.545%
2021-02-28, HDB, 1.330%
2021-02-28, SNE, 1.307%
2021-02-28, GOOG, 1.227%
2021-02-28, DHR, 1.098%
2021-02-28, HSBC, 0.818%
2021-02-28, AVGO, 0.793%
2021-02-28, MS, 0.784%
2021-02-28, GE, 0.745%
2021-02-28, KO, 0.736%
2021-02-28, V, 0.664%
2021-02-28, UNH, 0.615%
2021-02-28, RTX, 0.602%
2021-02-28, C, 0.579%
2021-02-28, AMGN, 0.436%
2021-02-28, MSFT, 0.428%
2021-02-28, PG, 0.339%
2021-02-28, PDD, 0.307%
2021-02-28, PFE, 0.269%
2021-02-28, FB, 0.232%
2021-02-28, AMAT, 0.215%
2021-02-28, JNJ, 0.201%
2021-02-28, WMT, 0.120%
2021-02-28, HON, 0.018%
2021-02-28, MDT, 0.014%
2021-02-28, ZM, 0.008%
2021-02-28, PM, -1.882%
2021-02-28, PEP, -1.777%
2021-02-28, DE, -1.645%
2021-02-28, LIN, -1.584%
2021-02-28, BAC, -1.530%
2021-02-28, RIO, -1.524%
2021-02-28, ABT, -1.480%
2021-02-28, SE, -1.472%
2021-02-28, IBM, -1.419%
2021-02-28, SCHW, -1.354%
2021-02-28, TM, -1.347%
2021-02-28, MA, -1.339%
2021-02-28, ABBV, -1.317%
2021-02-28, ACN, -1.266%
2021-02-28, INTU, -1.264%
2021-02-28, AZN, -1.214%
2021-02-28, SAP, -1.203%
2021-02-28, DIS, -1.161%
2021-02-28, JPM, -1.150%
2021-02-28, WFC, -1.098%
2021-02-28, NVS, -1.094%
2021-02-28, SHOP, -1.085%
2021-02-28, TD, -1.082%
2021-02-28, BA, -1.055%
2021-02-28, TMO, -1.046%
2021-02-28, BABA, -1.023%
2021-02-28, BHP, -0.997%
2021-02-28, TXN, -0.931%
2021-02-28, NVO, -0.915%
2021-02-28, CRM, -0.915%
2021-02-28, AMZN, -0.902%
2021-02-28, ORCL, -0.858%
2021-02-28, UNP, -0.826%
2021-02-28, T, -0.820%
2021-02-28, TOT, -0.817%
2021-02-28, CVX, -0.774%
2021-02-28, MRK, -0.761%
2021-02-28, ADBE, -0.714%
2021-02-28, SBUX, -0.712%
2021-02-28, NFLX, -0.661%
2021-02-28, ABNB, -0.619%
2021-02-28, JD, -0.612%
2021-02-28, BLK, -0.597%
2021-02-28, MCD, -0.582%
2021-02-28, HD, -0.571%
2021-02-28, UPS, -0.548%
2021-02-28, TSLA, -0.537%
2021-02-28, SNY, -0.511%
2021-02-28, BMY, -0.462%
2021-02-28, COST, -0.424%
2021-02-28, NEE, -0.418%
2021-02-28, VZ, -0.393%
2021-02-28, LLY, -0.385%
2021-02-28, XOM, -0.360%
2021-02-28, AXP, -0.355%
2021-02-28, GS, -0.337%
2021-02-28, TSM, -0.331%
2021-02-28, UL, -0.304%
2021-02-28, RY, -0.300%
2021-02-28, PYPL, -0.283%
2021-02-28, CSCO, -0.224%
2021-02-28, CAT, -0.221%
2021-02-28, NKE, -0.195%
2021-02-28, INTC, -0.170%
2021-02-28, ASML, -0.156%
2021-02-28, GOOGL, -0.142%
2021-02-28, NVDA, -0.127%
2021-02-28, TMUS, -0.106%
2021-02-28, LOW, -0.097%
2021-02-28, CMCSA, -0.073%
2021-02-28, AAPL, -0.029%